,Country,CountryId
0,Finland,0
1,Denmark,1
2,Switzerland,2
3,Iceland,3
4,Netherlands,4
5,Norway,5
6,Sweden,6
7,Luxembourg,7
8,New Zealand,8
9,Austria,9
10,Australia,10
11,Israel,11
12,Germany,12
13,Canada,13
14,Ireland,14
15,Costa Rica,15
16,United Kingdom,16
17,Czech Republic,17
18,United States,18
19,Belgium,19
20,France,20
21,Bahrain,21
22,Malta,22
23,Taiwan Province of China,23
24,United Arab Emirates,24
25,Saudi Arabia,25
26,Spain,26
27,Italy,27
28,Slovenia,28
29,Guatemala,29
30,Uruguay,30
31,Singapore,31
32,Kosovo,32
33,Slovakia,33
34,Brazil,34
35,Mexico,35
36,Jamaica,36
37,Lithuania,37
38,Cyprus,38
39,Estonia,39
40,Panama,40
41,Uzbekistan,41
42,Chile,42
43,Poland,43
44,Kazakhstan,44
45,Romania,45
46,Kuwait,46
47,Serbia,47
48,El Salvador,48
49,Mauritius,49
50,Latvia,50
51,Colombia,51
52,Hungary,52
53,Thailand,53
54,Nicaragua,54
55,Japan,55
56,Argentina,56
57,Portugal,57
58,Honduras,58
59,Croatia,59
60,Philippines,60
61,South Korea,61
62,Peru,62
63,Bosnia and Herzegovina,63
64,Moldova,64
65,Ecuador,65
66,Kyrgyzstan,66
67,Greece,67
68,Bolivia,68
69,Mongolia,69
70,Paraguay,70
71,Montenegro,71
72,Dominican Republic,72
73,North Cyprus,73
74,Belarus,74
75,Russia,75
76,Hong Kong S.A.R. of China,76
77,Tajikistan,77
78,Vietnam,78
79,Libya,79
80,Malaysia,80
81,Indonesia,81
82,Congo (Brazzaville),82
83,China,83
84,Ivory Coast,84
85,Armenia,85
86,Nepal,86
87,Bulgaria,87
88,Maldives,88
89,Azerbaijan,89
90,Cameroon,90
91,Senegal,91
92,Albania,92
93,North Macedonia,93
94,Ghana,94
95,Niger,95
96,Turkmenistan,96
97,Gambia,97
98,Benin,98
99,Laos,99
100,Bangladesh,100
101,Guinea,101
102,South Africa,102
103,Turkey,103
104,Pakistan,104
105,Morocco,105
106,Venezuela,106
107,Georgia,107
108,Algeria,108
109,Ukraine,109
110,Iraq,110
111,Gabon,111
112,Burkina Faso,112
113,Cambodia,113
114,Mozambique,114
115,Nigeria,115
116,Mali,116
117,Iran,117
118,Uganda,118
119,Liberia,119
120,Kenya,120
121,Tunisia,121
122,Lebanon,122
123,Namibia,123
124,Palestinian Territories,124
125,Myanmar,125
126,Jordan,126
127,Chad,127
128,Sri Lanka,128
129,Swaziland,129
130,Comoros,130
131,Egypt,131
132,Ethiopia,132
133,Mauritania,133
134,Madagascar,134
135,Togo,135
136,Zambia,136
137,Sierra Leone,137
138,India,138
139,Burundi,139
140,Yemen,140
141,Tanzania,141
142,Haiti,142
143,Malawi,143
144,Lesotho,144
145,Botswana,145
146,Rwanda,146
147,Zimbabwe,147
148,Afghanistan,148
33,Angola,149
161,Belize,150
175,Bhutan,151
308,Central African Republic,152
388,Congo (Kinshasa),153
423,Cuba,154
464,Djibouti,155
673,Guyana,156
1310,Oman,157
1422,Qatar,158
1559,Somalia,159
1562,Somaliland region,160
1596,South Sudan,161
1628,Sudan,162
1633,Suriname,163
1662,Syria,164
1736,Trinidad and Tobago,165
